"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","subject_id","study_id","session_id","rt","stimulus","response","task","attempt","result","id","slider_start"
"true","false","[]","[]","[]","preload","0","2.1.0","453","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2275","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","1820","
    <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary.<br><br>When you are ready to begin the audio attention check, click 'Start'.</p>
    </div>
","0","","","","",""
"","","","","","audio-button-response","2","2.1.0","9638","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","7332","audio/gift.wav","2","audio_check","1","correct","",""
"","","","","","html-button-response","3","2.1.0","11199","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","1559","<p>Correct! You are ready to begin the study.</p>","0","","","","",""
"","","","","","html-button-response","4","2.1.0","29561","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","18359","
        <div style=""
            max-width: 640px;
            margin: 40px auto;
            padding: 32px 40px;
            background: #ffffff;
            border: 1px solid #e5e7eb;
            border-radius: 16px;
            font-size: 16px;
            line-height: 1.6;
            text-align: left;
            color: #1f2937;
        "">
            <p style=""margin-top: 0;"">In this study, you will hear a single audio clip of someone speaking.</p>
            <p>Please listen carefully. The clip will play <strong>once</strong> and cannot be replayed, so keep your headphones on and your volume set.</p>
            <p>After listening, you will be asked to type the first <strong>five words</strong> that come to mind to describe what you heard (one word per box), and then answer a short question about the voice.</p>
            <p>There are no right or wrong answers. We are interested in your honest first impressions.</p>
            <p style=""margin-bottom: 0;"">When you understand these instructions and are ready to hear the audio clip, click 'Continue'.</p>
        </div>
    ","0","","","","",""
"","","","","","audio-keyboard-response","5","2.1.0","47480","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","null","audio/whytee.mp3","null","listen","","","whytee",""
"","","","","","survey-text","6","2.1.0","82509","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","35024","","{""word_1"":""student"",""word_2"":""softspoken"",""word_3"":""confident"",""word_4"":""male"",""word_5"":""gentle""}","response","","","whytee",""
"","","","","","html-slider-response","7","2.1.0","86074","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","3561","<p>How human did the voice sound?</p>","63","rating","","","whytee","50"
"","","","","","html-button-response","8","2.1.0","89288","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","3212","<p>You have completed the listening trial. You will now be directed to an short questionnaire about artificial intelligence, followed by an optional demographic survey. <br><br> After seeing the survey, you will be able to end the study.</p>","0","","","","",""
"","","","","","survey","9","3.0.0","143827","672d44a0368d7f70ae84fdbc","6a4006e2dbfd0dc33ffaa39b","6a42a2edb696b772bfde7411","54475","","{""cognitive_1"":4,""behavioral_1"":5,""affective_1"":5,""cognitive_2"":4,""affective_2"":4,""behavioral_2"":4,""understood"":true,""age"":51,""gender"":""Male"",""ethnicity"":""White"",""language"":""English"",""education"":""Hold a higher degree"",""enjoy"":""Better than average study"",""payment"":""The payment was fair"",""comments"":""N/A"",""question1"":null,""question2"":null,""question3"":null}","","","","",""
